Day,BOLETOS,month,day_name,day_type,day_tipo,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekday,weekend,HDAY,LDAY,NDAY,RDAY,BV,WB,FX,SO,UN,PT,MHM,LMM,MHH,LML,HLL,MML,NML,HHL,MMM,NMM,LHM,HML,MHL,NHM,HHM,NHL,LHL,NLL,HMM,NLM,HMH
2016-02-15,0.91575378,February,Monday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,3,7,6,3,3,6,3,0,1,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-16,0.876280944,February,Tuesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,3,7,6,3,3,6,3,0,1,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-17,1.069851475,February,Wednesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,3,7,6,3,3,6,3,0,1,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-18,0.6389970460000001,February,Thursday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,3,7,6,3,3,6,3,0,1,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-19,1.964267889,February,Friday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,3,7,7,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-20,2.561475154,February,Saturday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,3,7,7,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-21,3.043839007,February,Sunday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,3,7,7,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-22,0.600284244,February,Monday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,3,7,7,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-23,0.658960169,February,Tuesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,3,7,7,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-24,0.924472967,February,Wednesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,3,7,7,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-25,0.730524051,February,Thursday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,3,7,7,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-26,1.922697621,February,Friday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,3,8,7,3,3,6,3,0,2,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-27,2.176451096,February,Saturday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,2,8,7,3,3,6,3,0,2,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-28,2.458306256,February,Sunday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,2,8,7,3,3,6,3,0,2,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-29,0.516109671,February,Monday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,2,8,7,3,3,6,3,0,2,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-03-01,0.595645754,March,Tuesday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,2,8,6,3,3,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,1,0,0,0,0
2016-03-02,0.890998855,March,Wednesday,weekday,NDAY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,2,8,6,3,3,6,3,0,2,0,0,7,0,2,1,3,0,0,0,1,0,1,0,0,0,0
