Day,BOLETOS,day_of_week,Día,Nombre,Tipo
2016-07-24,3.299057097,6,Domingo,Vacaciones de Verano,Vacaciones escolares
2016-07-25,1.094201919,0,Lunes,Vacaciones de Verano,Vacaciones escolares
2016-07-26,1.520698385,1,Martes,Vacaciones de Verano,Vacaciones escolares
2016-07-27,2.090756455,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
2016-07-28,1.080501736,3,Jueves,Vacaciones de Verano,Vacaciones escolares
2016-07-29,2.59155684,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2016-07-30,3.254854437,5,Sábado,Vacaciones de Verano,Vacaciones escolares
2016-07-31,4.11417555,6,Domingo,Vacaciones de Verano,Vacaciones escolares
2016-08-01,1.439988001,0,Lunes,Vacaciones de Verano,Vacaciones escolares
2016-08-02,1.856825839,1,Martes,Vacaciones de Verano,Vacaciones escolares
2016-08-03,2.499064298,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
2016-08-04,1.539203418,3,Jueves,Vacaciones de Verano,Vacaciones escolares
2016-08-05,4.122392398,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2016-08-06,4.0202966810000005,5,Sábado,Vacaciones de Verano,Vacaciones escolares
2016-08-07,4.604749728,6,Domingo,Vacaciones de Verano,Vacaciones escolares
2016-08-08,1.7570037,0,Lunes,Vacaciones de Verano,Vacaciones escolares
2016-08-09,2.029999408,1,Martes,Vacaciones de Verano,Vacaciones escolares
2016-08-10,2.541417434,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
2016-08-11,1.317854136,3,Jueves,Vacaciones de Verano,Vacaciones escolares
2016-08-12,1.919187765,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2016-08-13,2.8124200910000003,5,Sábado,Vacaciones de Verano,Vacaciones escolares
2016-08-14,3.359951147,6,Domingo,Vacaciones de Verano,Vacaciones escolares
2016-08-15,0.94785135,0,Lunes,Vacaciones de Verano,Vacaciones escolares
2016-08-16,1.228864927,1,Martes,Vacaciones de Verano,Vacaciones escolares
2016-08-17,1.7186986419999999,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
2016-08-18,0.8385499890000001,3,Jueves,Vacaciones de Verano,Vacaciones escolares
2016-08-19,1.548314039,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2016-08-20,2.247541996,5,Sábado,Vacaciones de Verano,Vacaciones escolares
2016-08-21,2.64121674,6,Domingo,Vacaciones de Verano,Vacaciones escolares
2016-08-22,0.44725973,0,,,
2016-08-23,0.620443084,1,,,
2016-08-24,0.834619342,2,,,
2016-08-25,0.42795878200000004,3,,,
2016-08-26,1.026063082,4,,,
2016-08-27,1.758217144,5,,,
2016-08-28,2.221612769,6,,,
2016-08-29,0.309876257,0,,,
2016-08-30,0.546612148,1,,,
2016-08-31,0.779890375,2,,,
2016-09-01,0.381795691,3,,,
2016-09-02,0.800222098,4,,,
2016-09-03,1.732238989,5,,,
2016-09-04,2.124863385,6,,,
2016-09-05,0.23118501800000002,0,,,
2016-09-06,0.329780665,1,,,
2016-09-07,0.559532725,2,,,
2016-09-08,0.234391513,3,,,
2016-09-09,0.7364803679999999,4,,,
2016-09-10,1.4528466009999998,5,,,
2016-09-11,1.887931777,6,,,
2016-09-12,0.153674605,0,,,
2016-09-13,0.310505813,1,,,
2016-09-14,0.452025436,2,,,
2016-09-15,0.154141063,3,,,
2016-09-16,2.632076761,4,Viernes,Día de la Independencia,Descanso obligatorio
2016-09-17,2.1518560069999997,5,,,
2016-09-18,2.3585102119999997,6,,,
2016-09-19,0.42673229,0,,,
2016-09-20,0.575910967,1,,,
2016-09-21,0.837085375,2,,,
2016-09-22,0.469127831,3,,,
2016-09-23,1.071531379,4,,,
2016-09-24,2.035055427,5,,,
2016-09-25,2.586187673,6,,,
2016-09-26,0.353025308,0,,,
2016-09-27,0.568095339,1,,,
2016-09-28,0.7549495190000001,2,,,
2016-09-29,0.605258715,3,,,
2016-09-30,1.5560709519999998,4,,,
2016-10-01,2.316212529,5,,,
2016-10-02,2.8276142460000004,6,,,
2016-10-03,0.415958075,0,,,
2016-10-04,0.613113487,1,,,
2016-10-05,0.8364101509999999,2,,,
2016-10-06,0.42442609200000003,3,,,
2016-10-07,1.178350397,4,,,
2016-10-08,2.1570490280000003,5,,,
2016-10-09,2.59574192,6,,,
2016-10-10,0.373223291,0,,,
2016-10-11,0.590971382,1,,,
2016-10-12,0.983670803,2,,,
2016-10-13,0.407183434,3,,,
2016-10-14,0.959343194,4,,,
2016-10-15,1.79275139,5,,,
2016-10-16,2.281058514,6,,,
2016-10-17,0.298521415,0,,,
2016-10-18,0.445175345,1,,,
2016-10-19,0.638393585,2,,,
2016-10-20,0.288119062,3,,,
2016-10-21,1.1273465740000002,4,,,
2016-10-22,2.038774048,5,,,
2016-10-23,2.425791156,6,,,
2016-10-24,0.308369237,0,,,
2016-10-25,0.44270278799999996,1,,,
2016-10-26,0.5238339639999999,2,,,
2016-10-27,0.36281767600000003,3,,,
2016-10-28,1.361717553,4,,,
2016-10-29,1.8034734140000002,5,,,
2016-10-30,2.372291943,6,,,
2016-10-31,0.568711848,0,,,
2016-11-01,0.9925433029999999,1,,,
2016-11-02,1.9946268409999999,2,Miércoles,Día de Muertos,No obligatorio
2016-11-03,0.37100842799999995,3,,,
2016-11-04,1.088369555,4,,,
2016-11-05,2.151820125,5,,,
2016-11-06,2.659711986,6,,,
2016-11-07,0.273636012,0,,,
2016-11-08,0.43103479899999997,1,,,
2016-11-09,0.626474427,2,,,
2016-11-10,0.257538298,3,,,
2016-11-11,0.837617072,4,,,
2016-11-12,2.034230154,5,,,
2016-11-13,2.4096347259999997,6,,,
2016-11-14,0.264163315,0,,,
2016-11-15,0.40095311299999997,1,,,
2016-11-16,0.685512427,2,,,
2016-11-17,0.328273645,3,,,
2016-11-18,1.421342705,4,,,
2016-11-19,1.879450712,5,,,
2016-11-20,2.6857586419999997,6,,,
2016-11-21,2.060537767,0,Lunes,Día de la Revolución Mexicana,Descanso obligatorio
2016-11-22,0.432013384,1,,,
2016-11-23,0.569312046,2,,,
2016-11-24,0.236942357,3,,,
2016-11-25,1.036116407,4,,,
2016-11-26,1.5746412230000002,5,,,
2016-11-27,1.8176889840000001,6,,,
2016-11-28,0.198089292,0,,,
2016-11-29,0.379101322,1,,,
2016-11-30,0.534604917,2,,,
2016-12-01,0.161832737,3,,,
2016-12-02,1.0447377359999999,4,,,
2016-12-03,1.8634019259999999,5,,,
2016-12-04,2.372507232,6,,,
2016-12-05,0.38228498299999997,0,,,
2016-12-06,0.559154339,1,,,
2016-12-07,0.74482117,2,,,
2016-12-08,0.311298466,3,,,
2016-12-09,0.757960297,4,,,
2016-12-10,1.5449379230000002,5,,,
2016-12-11,2.1335890969999998,6,,,
2016-12-12,0.6864062009999999,0,,,
2016-12-13,0.478457002,1,,,
2016-12-14,1.014926791,2,,,
2016-12-15,0.868798035,3,,,
2016-12-16,1.155033991,4,,,
2016-12-17,1.779762312,5,,,
2016-12-18,2.6639035890000002,6,,,
2016-12-19,0.9133921290000001,0,Lunes,Vacaciones de invierno,Vacaciones escolares
2016-12-20,1.12777389,1,Martes,Vacaciones de invierno,Vacaciones escolares
2016-12-21,1.7476582180000002,2,Miércoles,Vacaciones de invierno,Vacaciones escolares
2016-12-22,1.0718999790000001,3,Jueves,Vacaciones de invierno,Vacaciones escolares
2016-12-23,1.2030400829999999,4,Viernes,Vacaciones de invierno,Vacaciones escolares
2016-12-24,9.63e-07,5,Sábado,Vacaciones de invierno,Vacaciones escolares
