studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date,close_date,mov_budget,mov_exp,mov_ext,mov_cat
WB,The 33,24902723,12227722,12675001,140,26000000,PG-13,2452,70,2015-11-13,2016-01-22,N,M,L,NML
SO,The Night Before,52395996,43047372,9348624,101,25000000,R,2960,56,2015-11-20,2016-01-15,N,M,L,NML
BV,The Good Dinosaur,332207671,123087120,209120551,100,200000000,PG,3749,135,2015-11-25,2016-04-08,L,H,M,LHM
WB,Creed,173567581,109767581,63800000,153,35000000,PG-13,3502,100,2015-11-25,2016-03-04,L,H,L,LHL
FX,Victor Frankenstein,34227298,5775076,28452222,109,40000000,PG-13,2797,39,2015-11-25,2016-01-03,N,M,L,NML
UN,Krampus,61548707,42725475,18823232,98,15000000,PG-13,2919,49,2015-12-04,2016-01-22,L,M,L,LML
FX,Alvin and the Chipmunks: The Road Chip,234798636,85886987,148911649,86,90000000,PG,3705,154,2015-12-08,2016-05-10,L,H,M,LHM
PT,The Big Short,133440870,70259870,63181000,130,28000000,R,2529,119,2015-12-11,2016-04-08,M,M,M,MMM
WB,In the Heart of the Sea,93920758,25020758,68900000,121,100000000,PG-13,3103,63,2015-12-11,2016-02-12,N,M,L,NML
BV,Star Wars: The Force Awakens,2068223624,936662225,1131561399,136,245000000,PG-13,4134,168,2015-12-18,2016-06-03,M,H,M,MHM
UN,Sisters,105011053,87044645,17966408,118,30000000,R,2978,84,2015-12-18,2016-03-11,N,M,L,NML
FX,The Revenant,532950503,183637894,349312609,151,135000000,R,3711,154,2015-12-25,2016-05-27,M,H,M,MHM
PT,Daddy's Home,242786137,150357137,92429000,96,69000000,PG-13,3483,105,2015-12-25,2016-04-08,L,M,M,LMM
WB,Point Break (2015),133718711,28782481,104936230,113,105000000,PG-13,2910,63,2015-12-25,2016-02-26,N,M,L,NML
FX,Joy,101134059,56451232,44682827,144,60000000,PG-13,2924,84,2015-12-25,2016-03-18,N,M,L,NML
SO,Concussion (2015),48623572,34542474,14081098,123,35000000,PG-13,2841,84,2015-12-25,2016-03-18,N,M,L,NML
UN,Ride Along 2,124605297,91221830,33383467,101,40000000,PG-13,3192,154,2016-01-15,2016-06-17,N,M,M,NMM
