studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date
Sony,Goosebumps,150170815,80080379,70090436,103,58000000,PG,3618,126,2015-10-26
Sony,Spectre,880674609,200074609,680600000,148,245000000,PG-13,3929,154,2015-11-06
20th Century Fox,The Peanuts,246233113,130178411,116054702,93,99000000,G,3902,147,2015-11-06
WB,The 33,24902723,12227722,12675001,140,26000000,PG-13,2452,70,2015-11-13
Sony,The Night Before,52395996,43047372,9348624,101,25000000,R,2960,56,2015-11-20
Buena Vista,The Good Dinosaur,332207671,123087120,209120551,100,200000000,PG,3749,135,2015-11-25
WB,Creed,173567581,109767581,63800000,153,35000000,PG-13,3502,100,2015-11-25
20th Century Fox,Victor Frankenstein,34227298,5775076,28452222,109,40000000,PG-13,2797,39,2015-11-25
Universal,Krampus,61548707,42725475,18823232,98,15000000,PG-13,2919,49,2015-12-04
20th Century Fox,Alvin and the Chipmunks: The Road Chip,234798636,85886987,148911649,86,90000000,PG,3705,154,2015-12-08
Paramount,The Big Short,133440870,70259870,63181000,130,28000000,R,2529,119,2015-12-11
WB,In the Heart of the Sea,93920758,25020758,68900000,121,100000000,PG-13,3103,63,2015-12-11
Buena Vista,Star Wars: The Force Awakens,2068223624,936662225,1131561399,136,245000000,PG-13,4134,168,2015-12-18
Universal,Sisters,105011053,87044645,17966408,118,30000000,R,2978,84,2015-12-18
20th Century Fox,The Revenant,532950503,183637894,349312609,151,135000000,R,3711,154,2015-12-25
Paramount,Daddy's Home,242786137,150357137,92429000,96,69000000,PG-13,3483,105,2015-12-25
WB,Point Break (2015),133718711,28782481,104936230,113,105000000,PG-13,2910,63,2015-12-25
20th Century Fox,Joy,101134059,56451232,44682827,144,60000000,PG-13,2924,84,2015-12-25
Sony,Concussion (2015),48623572,34542474,14081098,123,35000000,PG-13,2841,84,2015-12-25
Universal,Ride Along 2,124605297,91221830,33383467,101,40000000,PG-13,3192,154,2016-01-15
Sony,The 5th Wave,109906372,34916787,74989585,112,38000000,PG-13,2908,126,2016-01-22
20th Century Fox,Kung Fu Panda 3,521170825,143528619,377642206,95,145000000,PG,3987,175,2016-01-29
Buena Vista,The Finest Hours,52099090,27569558,24529532,109,80000000,PG-13,3143,70,2016-01-29
Universal,"Hail, Ceasar!",63647656,30498085,33149571,100,22000000,PG-13,2248,147,2016-02-05
Sony,Pride and Prejudice and Zombies,16405171,10938134,5467037,108,28000000,PG-13,2931,28,2016-02-05
20th Century Fox,Deadpool,783112979,363070709,420042270,106,58000000,R,3856,126,2016-02-12
WB,How to Be Single,112343513,46843513,65500000,110,38000000,R,3357,63,2016-02-12
Paramount,Zoolander 2,56722693,28848693,27874000,100,55000000,PG-13,3418,49,2016-02-12
Sony,Risen,46069568,36880033,9189535,107,20000000,PG-13,2915,91,2016-02-19
20th Century Fox,Eddie the Eagle,46152800,15789389,30363411,105,23000000,PG-13,2044,91,2016-02-26
Buena Vista,Zootopia,1023784195,341268248,682515947,108,150000000,PG,3959,154,2016-03-03
Paramount,Whiskey Tango Foxtrot,23083334,23083334,0,112,35000000,R,2413,56,2016-03-04
Paramount,10 Cloverfield Lane,110216998,72082998,38134000,105,15000000,PG-13,3427,84,2016-03-11
Sony,The Brothers Grimsby,25182929,6874837,18308092,83,35000000,R,2235,35,2016-03-11
Sony,Miracles From Heaven,73883359,61705123,12178236,109,13000000,PG,3155,128,2016-03-16
WB,Batman v Superman: Dawn of Justice,873634919,330360194,543274725,151,250000000,PG-13,4256,84,2016-03-25
Universal,My Big Fat Greek Wedding 2,88923251,59689605,29233646,94,18000000,PG-13,3179,63,2016-03-25
Universal,The Boss,78844582,63285885,15558697,99,29000000,R,3495,119,2016-04-08
Buena Vista,The Jungle Book (2016),966550600,364001123,602549477,105,175000000,PG,4144,168,2016-04-15
WB,Barbershop: The Next Cut,55030051,54030051,1000000,112,20000000,PG-13,2676,91,2016-04-15
Universal,The Huntsman: Winter's War,164989338,48390190,116599148,114,115000000,PG-13,3802,105,2016-04-22
WB,Keanu,20591853,20591853,0,98,15000000,R,2681,63,2016-04-29
Buena Vista,Captain America: Civil War,1153304495,408084349,745220146,147,250000000,PG-13,4226,140,2016-05-06
